month,09A,09B,09C,09D,100,11A,11B,11C,11D,13A,13A*,13B,13C,36A,36B,64A,64B,Person,120,120*,200,210,220,23A,23B,23C,23D,23E,23F,23G,23H,240,250,26A,26B,26C,26D,26E,26F,26G,270,280,290,510,90A,Property,35A,35B,370,39A,39B,39C,39D,40A,40B,40C,520,720,90B,90C,90D,90E,90F,90G,90H,90J,Society,90Z,Unspecified,Violent,Total
2021-11,0,0,0,0,2,0,0,0,0,9,0,10,0,0,0,0,0,21,0,0,0,0,5,0,0,0,3,0,2,3,6,7,0,1,0,0,0,0,0,0,0,8,16,0,0,51,11,2,0,0,0,0,0,0,0,0,10,0,0,3,0,0,3,0,0,0,29,14,14,9,115
2021-12,1,0,0,0,0,0,0,0,0,7,0,5,1,0,0,0,0,14,3,0,0,0,4,0,0,0,1,0,4,5,4,5,0,0,0,0,0,0,0,0,0,1,17,0,0,44,13,6,0,0,0,0,0,0,0,0,10,0,0,1,3,0,0,0,0,4,37,14,14,11,109
2022-01,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,19,1,0,0,0,2,0,0,1,1,0,5,5,3,7,0,0,0,0,0,0,3,0,0,2,16,0,0,46,6,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,2,17,14,14,9,96
2022-02,1,0,0,0,0,0,0,0,0,3,0,11,2,0,0,0,0,17,0,0,1,0,2,0,0,2,3,0,4,1,5,3,0,0,0,0,0,0,0,0,0,1,8,0,0,30,6,3,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,4,20,17,17,4,84
2022-03,0,0,0,0,0,0,1,0,0,9,0,7,0,0,1,0,0,18,3,0,0,0,2,0,1,0,0,0,3,4,5,4,1,1,0,0,0,0,0,0,0,1,9,0,0,34,6,4,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,0,18,16,16,12,86
2022-04,0,0,0,0,0,1,0,0,0,3,0,8,0,0,0,0,0,12,2,0,0,0,6,0,1,1,6,0,5,11,5,4,0,0,0,0,0,0,0,0,0,3,15,0,0,59,10,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,8,8,6,96
2022-05,0,0,0,0,0,1,0,0,0,6,0,7,1,0,0,0,0,15,1,0,0,0,3,0,0,0,1,0,3,3,4,6,1,0,0,0,0,0,0,0,0,5,9,0,0,36,8,3,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,1,0,1,24,17,17,8,92
2022-06,0,0,0,0,1,0,0,0,0,4,0,8,2,0,0,0,0,15,2,0,0,0,2,0,0,0,2,0,7,10,4,6,1,0,0,0,0,0,0,0,1,7,22,0,0,64,5,1,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,2,21,16,16,6,116
2022-07,1,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,17,3,0,1,0,2,0,0,0,4,0,6,0,6,12,0,1,0,0,0,0,0,0,1,5,13,0,0,54,7,2,0,0,0,0,0,0,0,0,5,0,0,4,0,0,1,0,0,1,20,21,21,16,112
2022-08,1,0,0,0,0,0,1,0,1,7,0,8,0,0,0,0,0,18,0,0,0,0,4,0,0,0,1,0,1,4,2,26,0,0,0,0,0,0,0,0,0,3,27,0,0,68,4,3,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,15,21,21,8,122
