month,09A,09B,09C,09D,100,11A,11B,11C,11D,13A,13A*,13B,13C,36A,36B,64A,64B,Person,120,120*,200,210,220,23A,23B,23C,23D,23E,23F,23G,23H,240,250,26A,26B,26C,26D,26E,26F,26G,270,280,290,510,90A,Property,35A,35B,370,39A,39B,39C,39D,40A,40B,40C,520,720,90B,90C,90D,90E,90F,90G,90H,90J,Society,90Z,Unspecified,Violent,Total,ytd,Total_YTD,Violent_YTD,Unspecified_YTD,Society_YTD,Property_YTD,Person_YTD
2021-01-01,18,0,4,0,7,7,10,0,13,250,0,157,17,0,5,0,0,488,73,0,16,0,190,6,1,71,132,1,381,262,207,367,11,10,19,3,0,0,29,0,1,39,560,0,1,2380,219,64,5,0,0,0,0,0,0,0,278,0,25,123,11,0,14,9,0,90,838,803,803,348,4509,4509,4509,348,803,838,2380,488
2021-02-01,12,1,1,0,7,12,6,0,2,173,0,145,22,0,1,0,0,382,53,0,7,0,104,6,6,80,129,1,289,229,138,326,10,13,16,4,0,2,15,1,0,24,427,0,0,1880,221,52,3,0,0,0,0,0,0,0,233,0,23,116,10,0,20,13,0,84,775,455,455,250,3492,8001,8001,598,1258,1613,4260,870
2021-03-01,10,0,2,0,11,3,8,0,5,213,0,166,24,0,3,0,0,445,57,0,11,0,123,2,2,90,134,2,248,195,173,310,12,12,13,7,0,1,11,0,1,23,495,0,0,1922,284,60,2,0,0,0,0,0,0,0,293,1,15,130,11,0,17,31,0,76,920,755,755,283,4042,12043,12043,881,2013,2533,6182,1315
2021-04-01,19,1,1,0,10,15,13,0,6,223,0,211,22,0,4,0,0,525,54,0,22,0,150,6,9,74,124,1,274,220,212,297,9,8,18,6,0,1,13,0,0,28,590,0,0,2116,266,72,4,0,0,0,0,0,0,0,243,1,8,123,6,0,14,28,0,83,848,881,881,311,4370,16413,16413,1192,2894,3381,8298,1840
2021-05-01,16,0,3,0,16,11,7,0,3,284,0,234,44,0,1,0,0,619,78,0,13,0,156,9,2,77,135,0,423,240,215,369,7,10,21,2,0,1,12,0,1,29,746,0,0,2546,201,50,2,0,0,0,0,0,0,0,316,2,10,120,3,0,19,11,0,81,815,942,942,389,4922,21335,21335,1581,3836,4196,10844,2459
2021-06-01,13,0,2,0,8,13,10,0,4,280,0,239,30,0,5,0,0,604,75,0,16,0,166,1,5,91,143,0,429,273,230,379,5,9,17,1,0,1,14,0,1,43,726,0,1,2626,214,71,1,0,0,0,0,0,0,0,257,1,4,87,7,0,15,28,0,96,781,866,866,381,4877,26212,26212,1962,4702,4977,13470,3063
2021-07-01,16,0,4,0,19,10,4,0,2,307,0,258,52,0,3,0,0,675,86,0,14,0,187,4,4,104,148,1,504,268,216,388,3,16,19,4,0,3,17,0,1,65,894,0,2,2948,214,55,2,0,0,0,0,7,0,0,346,1,6,91,6,0,12,34,0,112,886,1007,1007,419,5516,31728,31728,2381,5709,5863,16418,3738
2021-08-01,15,3,3,0,13,15,10,0,4,289,0,238,46,0,1,0,0,637,77,0,14,0,176,8,11,93,137,0,548,257,218,418,16,18,19,2,0,6,9,0,1,88,762,0,1,2879,223,59,2,0,0,0,0,0,0,0,309,0,4,112,7,0,20,39,0,110,885,1006,1006,396,5407,37135,37135,2777,6715,6748,19297,4375
2021-09-01,22,2,0,0,12,7,8,0,6,238,0,203,46,0,3,1,0,548,104,0,7,0,217,3,2,72,145,0,544,307,204,367,9,23,18,2,0,6,9,0,0,112,797,0,0,2948,215,67,1,0,0,0,0,3,0,0,239,2,2,120,4,0,9,39,0,102,803,900,900,371,5199,42334,42334,3148,7615,7551,22245,4923
2021-10-01,19,1,3,0,18,11,9,1,5,269,0,241,50,0,0,0,0,627,92,0,9,0,241,2,3,69,175,0,522,247,198,348,18,31,29,1,0,3,17,0,0,97,792,0,2,2896,206,55,7,0,0,0,0,0,0,0,282,3,4,78,5,0,23,30,0,101,794,868,868,391,5185,47519,47519,3539,8483,8345,25141,5550
2021-11-01,13,0,2,0,13,7,8,0,6,206,0,242,41,0,2,0,0,540,79,0,18,0,214,0,2,50,132,0,521,201,202,291,13,36,27,0,0,2,14,0,2,111,861,0,0,2776,181,61,2,0,0,0,0,0,0,0,205,2,2,80,10,0,13,5,0,81,642,818,818,305,4776,52295,52295,3844,9301,8987,27917,6090
2021-12-01,16,1,1,0,5,8,7,0,4,246,0,209,53,0,1,0,0,551,76,0,18,0,213,8,5,55,149,4,419,182,209,286,24,26,19,0,0,3,33,0,1,81,735,0,4,2550,142,36,0,0,0,0,0,1,0,0,235,1,0,74,7,0,15,2,0,79,592,780,780,346,4473,56768,56768,4190,10081,9579,30467,6641
2022-01-01,14,1,1,0,15,11,14,0,2,192,0,174,41,0,3,0,0,468,82,0,11,0,180,1,0,56,123,1,359,248,172,317,18,14,21,0,0,0,34,1,2,114,652,0,2,2408,106,24,3,0,0,0,0,0,0,0,249,0,1,52,7,0,15,0,0,70,527,744,744,299,4147,4147,4147,299,744,527,2408,468
2022-02-01,9,0,0,0,8,5,4,0,3,172,0,167,41,0,1,0,0,410,54,0,7,0,137,4,1,46,111,0,309,226,139,253,18,21,22,1,0,2,15,0,1,83,578,0,1,2029,120,28,0,0,0,0,0,0,0,0,204,0,3,67,5,0,14,6,0,84,531,750,750,240,3720,7867,7867,539,1494,1058,4437,878
2022-03-01,14,4,0,0,8,7,6,0,2,227,0,197,30,1,2,0,0,498,69,0,11,0,194,4,4,47,144,1,455,239,202,304,25,26,30,3,0,2,11,0,2,92,714,0,0,2579,191,54,1,0,0,0,0,4,0,0,319,1,3,97,3,0,12,6,0,72,763,839,839,317,4679,12546,12546,856,2333,1821,7016,1376
2022-04-01,14,0,1,0,7,10,9,0,4,216,0,214,50,0,1,2,0,528,71,0,13,0,167,6,1,38,116,0,424,241,212,290,25,19,30,0,0,1,13,0,2,84,751,0,0,2504,160,40,3,0,0,0,0,0,0,0,333,2,0,76,10,0,26,35,0,74,759,849,849,311,4640,17186,17186,1167,3182,2580,9520,1904
2022-05-01,21,2,0,0,8,12,11,0,4,251,0,239,58,1,4,0,0,611,60,0,8,0,181,1,5,42,131,0,364,188,210,404,23,18,15,3,0,3,11,1,4,97,696,0,0,2465,157,31,4,0,0,0,0,0,0,0,247,2,4,92,10,0,14,73,0,85,719,868,868,344,4663,21849,21849,1511,4050,3299,11985,2515
2022-06-01,16,0,1,0,8,9,7,0,7,239,0,261,64,0,6,0,0,618,69,0,18,0,206,6,5,42,100,0,460,251,211,578,17,19,27,1,1,2,9,0,2,133,869,0,0,3026,170,38,0,0,0,0,0,0,0,0,273,2,4,79,5,0,16,70,0,52,709,857,857,333,5210,27059,27059,1844,4907,4008,15011,3133
2022-07-01,18,0,3,0,13,8,5,0,6,245,0,240,50,0,1,0,0,589,75,0,11,0,229,3,5,55,153,0,512,250,225,1061,15,15,32,0,0,1,11,0,2,147,1090,0,0,3892,170,33,1,0,0,0,0,0,1,1,291,2,3,95,4,0,16,28,0,102,747,950,950,346,6178,33237,33237,2190,5857,4755,18903,3722
2022-08-01,29,2,0,0,9,8,12,0,6,221,0,239,45,0,1,0,0,572,60,0,13,0,216,6,7,61,121,0,443,290,227,1093,14,19,25,1,0,4,12,0,1,135,1055,0,0,3803,156,33,0,0,0,0,0,0,0,0,298,1,0,88,2,0,21,25,0,72,696,891,891,318,5962,39199,39199,2508,6748,5451,22706,4294
2022-09-01,19,0,4,0,11,13,9,0,3,210,0,246,60,1,2,0,0,578,66,0,8,0,238,3,1,41,114,1,462,242,225,958,19,13,24,3,0,3,7,0,0,128,985,0,0,3541,147,35,5,0,0,0,0,0,0,0,256,4,2,71,1,0,10,18,0,97,646,787,787,308,5552,44751,44751,2816,7535,6097,26247,4872
