date_inc,PctChg_Person,PctChg_Property,PctChg_Society,PctChg_Unspecified,PctChg_Total
2021-01-31,,,,,
2021-02-28,,,,,
2021-03-31,,,,,
2021-04-30,,,,,
2021-05-31,,,,,
2021-06-30,,,,,
2021-07-31,,,,,
2021-08-31,,,,,
2021-09-30,,,,,
2021-10-31,,,,,
2021-11-30,,,,,
2021-12-31,,,,,
2022-01-31,0.7272727272727273,0.4838709677419355,-0.05555555555555558,-0.30000000000000004,0.19999999999999996
2022-02-28,0.7,0.19999999999999996,-0.23076923076923073,0.8888888888888888,0.19999999999999996
2022-03-31,0.6363636363636365,-0.29166666666666663,-0.55,-0.2727272727272727,-0.2892561983471075
2022-04-30,-0.07692307692307687,0.17999999999999994,-0.26086956521739135,-0.5294117647058824,-0.06796116504854366
2022-05-31,-0.25,-0.21739130434782605,0.33333333333333326,-0.10526315789473684,-0.10679611650485432
2022-06-30,-0.42307692307692313,1.0,-0.27586206896551724,0.6000000000000001,0.19587628865979378
2022-07-31,0.41666666666666674,0.14893617021276606,0.17647058823529416,1.1,0.30232558139534893
2022-08-31,0.05882352941176472,0.33333333333333326,-0.2857142857142857,0.0,0.10909090909090913
2022-09-30,-0.23076923076923073,-0.28378378378378377,-0.26086956521739135,-0.33333333333333337,-0.28
2022-10-31,0.050000000000000044,0.22448979591836737,0.4444444444444444,-0.15384615384615385,0.17999999999999994
2022-11-30,-0.5238095238095238,-0.019607843137254943,-0.7241379310344828,0.3571428571428572,-0.24347826086956526
2022-12-31,-0.2857142857142857,0.5681818181818181,-0.6486486486486487,0.0714285714285714,-0.01834862385321101
2023-01-31,-0.10526315789473684,0.26086956521739135,-0.4117647058823529,0.2857142857142858,0.07291666666666674
2023-02-28,-0.47058823529411764,0.2333333333333334,-0.050000000000000044,-0.3529411764705882,-0.09523809523809523
2023-03-31,-0.38888888888888884,-0.05882352941176472,0.05555555555555558,-0.5,-0.18604651162790697
2023-04-30,-0.08333333333333337,-0.423728813559322,-0.3529411764705882,0.25,-0.3125
2023-05-31,0.3999999999999999,0.13888888888888884,0.08333333333333326,-0.3529411764705882,0.07608695652173902
2023-06-30,0.06666666666666665,-0.1875,-0.1428571428571429,0.0,-0.12068965517241381
2023-07-31,-0.05882352941176472,0.0,-0.4,0.0,-0.0803571428571429
2023-08-31,0.33333333333333326,-0.17647058823529416,0.8666666666666667,-0.33333333333333337,0.0
2023-09-30,1.7999999999999998,-0.018867924528301883,0.2941176470588236,1.1,0.3666666666666667
2023-10-31,-0.19047619047619047,-0.08333333333333337,-0.34615384615384615,0.18181818181818188,-0.13559322033898302
2023-11-30,0.5,-0.14,1.0,-0.21052631578947367,0.02298850574712641
2023-12-31,-0.09999999999999998,-0.46376811594202894,0.07692307692307687,0.06666666666666665,-0.28971962616822433
