,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2022-07-17,Commercial,3.0,5.0,6.0,11.0
1,2022-07-17,Duplex,27.0,36.0,42.0,61.0
2,2022-07-17,Empty Lot,15.0,28.0,5.0,52.0
3,2022-07-17,Mixed-Use,0.0,4.0,4.0,7.0
4,2022-07-17,Multi-Unit,7.0,16.0,17.0,22.0
5,2022-07-17,Single-Family,44.0,90.0,56.0,84.0
