,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2021-12-20,Commercial,4.0,6.0,2.0,6.0
1,2021-12-20,Duplex,34.0,54.0,35.0,65.0
2,2021-12-20,Empty Lot,15.0,43.0,10.0,59.0
3,2021-12-20,Mixed-Use,0.0,4.0,0.0,5.0
4,2021-12-20,Multi-Unit,9.0,14.0,15.0,35.0
5,2021-12-20,Single-Family,70.0,80.0,60.0,68.0
