,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2023-11-01,Commercial,0,0,0,1.0
1,2023-11-01,Duplex,0,0,0,10.0
2,2023-11-01,Empty Lot,0,0,0,72.0
3,2023-11-01,Multi-Unit,0,0,0,4.0
4,2023-11-01,Single-Family,0,0,0,10.0
