,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2021-11-24,Commercial,183.0,278.0,203.0,413.0
1,2021-11-24,Duplex,234.0,638.0,502.0,1545.0
2,2021-11-24,Empty Lot,2124.0,3614.0,535.0,8496.0
3,2021-11-24,Mixed-Use,17.0,40.0,34.0,80.0
4,2021-11-24,Multi-Unit,73.0,179.0,166.0,491.0
5,2021-11-24,Other,1.0,1.0,2.0,0.0
6,2021-11-24,Single-Family,943.0,1743.0,1296.0,2802.0
