,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2022-02-21,Commercial,120.0,233.0,178.0,341.0
1,2022-02-21,Duplex,185.0,612.0,471.0,854.0
2,2022-02-21,Empty Lot,1859.0,3748.0,585.0,320.0
3,2022-02-21,Mixed-Use,12.0,32.0,29.0,62.0
4,2022-02-21,Multi-Unit,51.0,162.0,171.0,320.0
5,2022-02-21,Other,1.0,1.0,2.0,0.0
6,2022-02-21,Single-Family,636.0,1581.0,1229.0,1721.0
7,2022-02-21,Residential,872.0,2355.0,1871.0,2895.0
8,2022-02-21,Mixed-Use/Other,13.0,33.0,31.0,62.0
