,Date,index,V_Indeterminant,V_Possible,V_Very_Likely,V_Definite
0,2021-03-01,Commercial,10,2,27,9
1,2021-03-01,Duplex,39,10,156,80
2,2021-03-01,Empty Lot,15,7,75,77
3,2021-03-01,Multi-Unit,15,5,48,43
4,2021-03-01,Other,6,1,12,10
5,2021-03-01,Single-Family,91,29,218,100
