,Date,Type,V_Indeterminant,V_Possible,V_Very_Likely,V_Definite
0,2021-12-20,Commercial,4.0,3.0,18.0,6.0
1,2021-12-20,Duplex,14.0,1.0,180.0,81.0
2,2021-12-20,Empty Lot,8.0,2.0,83.0,82.0
3,2021-12-20,Mixed-Use,0.0,0.0,12.0,2.0
4,2021-12-20,Multi-Unit,3.0,1.0,61.0,49.0
5,2021-12-20,Single-Family,41.0,5.0,274.0,99.0
6,2021-12-20,Residential,58.0,7.0,515.0,229.0
7,2021-12-20,Mixed-Use/Other,0.0,0.0,12.0,2.0
