,Date,Type,B_Zero,B_Low,B_Medium,B_High
41,2021-08-18,Duplex,40.0,83.0,53.0,95.0
42,2021-08-18,Empty Lot,19.0,59.0,11.0,88.0
43,2021-08-18,Mixed-Use,1.0,3.0,3.0,5.0
44,2021-08-18,Multi-Unit,11.0,24.0,26.0,49.0
45,2021-08-18,Single-Family,83.0,123.0,89.0,108.0
46,2021-08-18,Residential,134.0,230.0,168.0,252.0
47,2021-08-18,Mixed-Use/Other,1.0,3.0,3.0,5.0
48,2021-09-22,Commercial,5.0,8.0,4.0,12.0
49,2021-09-22,Duplex,42.0,84.0,54.0,95.0
50,2021-09-22,Empty Lot,20.0,59.0,11.0,88.0
51,2021-09-22,Mixed-Use,1.0,3.0,3.0,5.0
52,2021-09-22,Multi-Unit,12.0,24.0,25.0,50.0
53,2021-09-22,Single-Family,85.0,123.0,91.0,108.0
54,2021-09-22,Residential,139.0,231.0,170.0,253.0
55,2021-09-22,Mixed-Use/Other,1.0,3.0,3.0,5.0
56,2021-10-15,Commercial,5.0,8.0,4.0,12.0
57,2021-10-15,Duplex,39.0,85.0,55.0,95.0
58,2021-10-15,Empty Lot,21.0,57.0,12.0,86.0
59,2021-10-15,Mixed-Use,1.0,5.0,3.0,6.0
60,2021-10-15,Multi-Unit,13.0,24.0,24.0,51.0
61,2021-10-15,Single-Family,89.0,124.0,94.0,107.0
62,2021-10-15,Residential,141.0,233.0,173.0,253.0
63,2021-10-15,Mixed-Use/Other,1.0,5.0,3.0,6.0
64,2021-11-24,Commercial,5.0,9.0,4.0,12.0
65,2021-11-24,Duplex,42.0,83.0,57.0,94.0
66,2021-11-24,Empty Lot,24.0,54.0,13.0,84.0
67,2021-11-24,Mixed-Use,1.0,4.0,3.0,6.0
68,2021-11-24,Multi-Unit,12.0,26.0,27.0,50.0
69,2021-11-24,Single-Family,89.0,125.0,93.0,110.0
70,2021-11-24,Residential,143.0,234.0,177.0,254.0
71,2021-11-24,Mixed-Use/Other,1.0,4.0,3.0,6.0
72,2021-12-20,Commercial,5.0,10.0,4.0,12.0
73,2021-12-20,Duplex,43.0,82.0,56.0,95.0
74,2021-12-20,Empty Lot,24.0,54.0,13.0,84.0
75,2021-12-20,Mixed-Use,1.0,4.0,3.0,6.0
76,2021-12-20,Multi-Unit,12.0,24.0,28.0,50.0
77,2021-12-20,Single-Family,90.0,124.0,94.0,111.0
78,2021-12-20,Residential,145.0,230.0,178.0,256.0
79,2021-12-20,Mixed-Use/Other,1.0,4.0,3.0,6.0
80,2021-12-22,Commercial,6.0,10.0,5.0,9.0
81,2021-12-22,Duplex,50.0,82.0,54.0,93.0
82,2021-12-22,Empty Lot,30.0,55.0,11.0,80.0
83,2021-12-22,Mixed-Use,3.0,3.0,3.0,6.0
84,2021-12-22,Multi-Unit,13.0,23.0,33.0,41.0
85,2021-12-22,Single-Family,89.0,135.0,77.0,96.0
86,2021-12-22,Residential,152.0,240.0,164.0,230.0
87,2021-12-22,Mixed-Use/Other,3.0,3.0,3.0,6.0
88,2022-01-23,Commercial,2.0,8.0,6.0,11.0
89,2022-01-23,Duplex,28.0,87.0,54.0,102.0
90,2022-01-23,Empty Lot,9.0,71.0,14.0,82.0
91,2022-01-23,Mixed-Use,2.0,4.0,3.0,6.0
92,2022-01-23,Multi-Unit,4.0,24.0,29.0,48.0
93,2022-01-23,Single-Family,61.0,129.0,88.0,107.0
94,2022-01-23,Residential,93.0,240.0,171.0,257.0
95,2022-01-23,Mixed-Use/Other,2.0,4.0,3.0,6.0
96,2022-02-21,Commercial,5.0,9.0,5.0,9.0
97,2022-02-21,Duplex,43.0,81.0,50.0,100.0
98,2022-02-21,Empty Lot,14.0,59.0,12.0,82.0
99,2022-02-21,Mixed-Use,0.0,5.0,2.0,6.0
100,2022-02-21,Multi-Unit,11.0,20.0,29.0,45.0
101,2022-02-21,Single-Family,62.0,117.0,83.0,105.0
102,2022-02-21,Residential,116.0,218.0,162.0,250.0
103,2022-02-21,Mixed-Use/Other,0.0,5.0,2.0,6.0
104,2022-03-10,Commercial,4.0,10.0,4.0,10.0
105,2022-03-10,Duplex,48.0,83.0,56.0,100.0
106,2022-03-10,Empty Lot,17.0,59.0,12.0,81.0
107,2022-03-10,Mixed-Use,0.0,5.0,2.0,6.0
108,2022-03-10,Multi-Unit,12.0,21.0,28.0,45.0
109,2022-03-10,Single-Family,67.0,121.0,93.0,103.0
110,2022-03-10,Residential,127.0,225.0,177.0,248.0
111,2022-03-10,Mixed-Use/Other,0.0,5.0,2.0,6.0
112,2022-04-23,Commercial,4.0,11.0,3.0,11.0
113,2022-04-23,Duplex,44.0,83.0,64.0,95.0
114,2022-04-23,Empty Lot,20.0,57.0,11.0,82.0
115,2022-04-23,Mixed-Use,0.0,5.0,2.0,6.0
116,2022-04-23,Multi-Unit,10.0,23.0,29.0,44.0
117,2022-04-23,Single-Family,69.0,121.0,98.0,103.0
118,2022-04-23,Residential,123.0,227.0,191.0,242.0
119,2022-04-23,Mixed-Use/Other,0.0,5.0,2.0,6.0
120,2022-06-05,Commercial,4.0,9.0,5.0,11.0
121,2022-06-05,Duplex,47.0,83.0,59.0,97.0
122,2022-06-05,Empty Lot,22.0,58.0,11.0,82.0
123,2022-06-05,Mixed-Use,0.0,5.0,1.0,6.0
124,2022-06-05,Multi-Unit,12.0,25.0,29.0,45.0
125,2022-06-05,Single-Family,72.0,122.0,97.0,104.0
126,2022-06-05,Residential,131.0,230.0,185.0,246.0
127,2022-06-05,Mixed-Use/Other,0.0,5.0,1.0,6.0
128,2022-06-23,Commercial,4.0,8.0,6.0,11.0
129,2022-06-23,Duplex,45.0,84.0,63.0,91.0
130,2022-06-23,Empty Lot,25.0,62.0,7.0,83.0
131,2022-06-23,Mixed-Use,0.0,5.0,0.0,6.0
132,2022-06-23,Multi-Unit,12.0,25.0,28.0,45.0
133,2022-06-23,Single-Family,75.0,123.0,94.0,106.0
134,2022-06-23,Residential,132.0,232.0,185.0,242.0
135,2022-06-23,Mixed-Use/Other,0.0,5.0,0.0,6.0
136,2022-07-17,Commercial,4.0,8.0,7.0,11.0
137,2022-07-17,Duplex,49.0,81.0,64.0,92.0
138,2022-07-17,Empty Lot,23.0,63.0,7.0,82.0
139,2022-07-17,Mixed-Use,0.0,5.0,1.0,5.0
140,2022-07-17,Multi-Unit,11.0,24.0,30.0,44.0
