,Date,Type,B_Zero,B_Low,B_Medium,B_High
54,2021-09-22,Duplex,232.0,632.0,498.0,850.0
55,2021-09-22,Empty Lot,2118.0,3608.0,532.0,287.0
56,2021-09-22,Mixed-Use,17.0,40.0,36.0,61.0
57,2021-09-22,Multi-Unit,74.0,170.0,161.0,328.0
58,2021-09-22,Other,1.0,1.0,2.0,0.0
59,2021-09-22,Single-Family,945.0,1714.0,1276.0,1710.0
60,2021-09-22,Residential,1251.0,2516.0,1935.0,2888.0
61,2021-09-22,Mixed-Use/Other,18.0,41.0,38.0,61.0
62,2021-10-15,Commercial,187.0,272.0,204.0,337.0
63,2021-10-15,Duplex,234.0,631.0,497.0,855.0
64,2021-10-15,Empty Lot,2111.0,3620.0,532.0,287.0
65,2021-10-15,Mixed-Use,17.0,40.0,35.0,63.0
66,2021-10-15,Multi-Unit,76.0,173.0,161.0,325.0
67,2021-10-15,Other,1.0,1.0,2.0,0.0
68,2021-10-15,Single-Family,940.0,1729.0,1291.0,1714.0
69,2021-10-15,Residential,1250.0,2533.0,1949.0,2894.0
70,2021-10-15,Mixed-Use/Other,18.0,41.0,37.0,63.0
71,2021-11-24,Commercial,183.0,278.0,203.0,340.0
72,2021-11-24,Duplex,234.0,638.0,502.0,860.0
73,2021-11-24,Empty Lot,2124.0,3614.0,535.0,292.0
74,2021-11-24,Mixed-Use,17.0,40.0,34.0,63.0
75,2021-11-24,Multi-Unit,73.0,179.0,166.0,326.0
76,2021-11-24,Other,1.0,1.0,2.0,0.0
77,2021-11-24,Single-Family,943.0,1743.0,1296.0,1722.0
78,2021-11-24,Residential,1250.0,2560.0,1964.0,2908.0
79,2021-11-24,Mixed-Use/Other,18.0,41.0,36.0,63.0
80,2021-12-20,Commercial,181.0,272.0,202.0,340.0
81,2021-12-20,Duplex,228.0,632.0,500.0,861.0
82,2021-12-20,Empty Lot,2095.0,3596.0,529.0,289.0
83,2021-12-20,Mixed-Use,16.0,39.0,33.0,64.0
84,2021-12-20,Multi-Unit,72.0,177.0,169.0,325.0
85,2021-12-20,Other,1.0,1.0,2.0,0.0
86,2021-12-20,Single-Family,907.0,1749.0,1296.0,1725.0
87,2021-12-20,Residential,1207.0,2558.0,1965.0,2911.0
88,2021-12-20,Mixed-Use/Other,17.0,40.0,35.0,64.0
89,2021-12-22,Commercial,172.0,284.0,205.0,312.0
90,2021-12-22,Duplex,238.0,624.0,482.0,811.0
91,2021-12-22,Empty Lot,2142.0,3597.0,488.0,267.0
92,2021-12-22,Mixed-Use,17.0,37.0,30.0,61.0
93,2021-12-22,Multi-Unit,71.0,172.0,181.0,297.0
94,2021-12-22,Other,1.0,1.0,2.0,0.0
95,2021-12-22,Single-Family,864.0,1737.0,1179.0,1631.0
