,Date,Type,B_Zero,B_Low,B_Medium,B_High
88,2022-04-23,Multi-Unit,5.0,13.0,18.0,31.0
89,2022-04-23,Single-Family,55.0,72.0,59.0,66.0
90,2022-06-05,Commercial,2.0,6.0,3.0,6.0
91,2022-06-05,Duplex,32.0,56.0,39.0,62.0
92,2022-06-05,Empty Lot,16.0,46.0,8.0,56.0
93,2022-06-05,Mixed-Use,0.0,3.0,0.0,6.0
94,2022-06-05,Multi-Unit,7.0,13.0,18.0,31.0
95,2022-06-05,Single-Family,59.0,75.0,57.0,64.0
96,2022-06-23,Commercial,2.0,5.0,4.0,6.0
97,2022-06-23,Duplex,31.0,58.0,40.0,58.0
98,2022-06-23,Empty Lot,18.0,49.0,4.0,57.0
99,2022-06-23,Mixed-Use,0.0,2.0,0.0,6.0
100,2022-06-23,Multi-Unit,7.0,14.0,17.0,30.0
101,2022-06-23,Single-Family,62.0,75.0,55.0,66.0
102,2022-07-17,Commercial,2.0,5.0,5.0,6.0
103,2022-07-17,Duplex,34.0,54.0,40.0,59.0
104,2022-07-17,Empty Lot,16.0,50.0,3.0,57.0
105,2022-07-17,Mixed-Use,0.0,2.0,1.0,5.0
106,2022-07-17,Multi-Unit,7.0,12.0,17.0,31.0
107,2022-07-17,Single-Family,62.0,81.0,54.0,64.0
108,2022-08-11,Commercial,3.0,3.0,5.0,6.0
109,2022-08-11,Duplex,36.0,54.0,39.0,57.0
110,2022-08-11,Empty Lot,17.0,53.0,5.0,59.0
111,2022-08-11,Mixed-Use,0.0,2.0,1.0,5.0
112,2022-08-11,Multi-Unit,10.0,9.0,18.0,32.0
113,2022-08-11,Single-Family,66.0,77.0,47.0,64.0
114,2022-09-13,Commercial,3.0,3.0,5.0,6.0
115,2022-09-13,Duplex,20.0,51.0,39.0,56.0
116,2022-09-13,Empty Lot,16.0,50.0,8.0,62.0
117,2022-09-13,Mixed-Use,0.0,2.0,1.0,5.0
118,2022-09-13,Multi-Unit,8.0,12.0,14.0,32.0
119,2022-09-13,Single-Family,34.0,80.0,40.0,67.0
120,2022-10-18,Commercial,1.0,4.0,5.0,5.0
121,2022-10-18,Duplex,14.0,47.0,43.0,58.0
122,2022-10-18,Empty Lot,22.0,45.0,8.0,62.0
123,2022-10-18,Mixed-Use,0.0,2.0,1.0,5.0
124,2022-10-18,Multi-Unit,3.0,13.0,17.0,31.0
125,2022-10-18,Single-Family,21.0,84.0,44.0,67.0
126,2022-11-17,Commercial,1.0,4.0,5.0,5.0
127,2022-11-17,Duplex,14.0,47.0,42.0,59.0
128,2022-11-17,Empty Lot,21.0,47.0,8.0,60.0
129,2022-11-17,Mixed-Use,0.0,2.0,1.0,5.0
130,2022-11-17,Multi-Unit,4.0,12.0,18.0,31.0
131,2022-11-17,Single-Family,22.0,81.0,45.0,67.0
132,2022-12-26,Commercial,1.0,4.0,5.0,5.0
133,2022-12-26,Duplex,15.0,46.0,46.0,55.0
134,2022-12-26,Empty Lot,28.0,47.0,9.0,60.0
135,2022-12-26,Mixed-Use,0.0,2.0,1.0,5.0
136,2022-12-26,Multi-Unit,3.0,11.0,14.0,34.0
137,2022-12-26,Single-Family,23.0,79.0,47.0,66.0
138,2023-03-28,Commercial,1.0,6.0,5.0,4.0
139,2023-03-28,Duplex,8.0,35.0,43.0,49.0
140,2023-03-28,Empty Lot,41.0,43.0,3.0,52.0
141,2023-03-28,Mixed-Use,0.0,3.0,0.0,5.0
142,2023-03-28,Multi-Unit,1.0,16.0,17.0,27.0
143,2023-03-28,Single-Family,16.0,74.0,53.0,55.0
144,2023-04-22,Commercial,1.0,6.0,5.0,4.0
145,2023-04-22,Duplex,7.0,35.0,47.0,45.0
146,2023-04-22,Empty Lot,38.0,46.0,3.0,52.0
147,2023-04-22,Mixed-Use,0.0,2.0,1.0,5.0
148,2023-04-22,Multi-Unit,1.0,16.0,20.0,24.0
149,2023-04-22,Single-Family,13.0,78.0,52.0,54.0
150,2023-05-02,Commercial,0.0,2.0,2.0,11.0
151,2023-05-02,Duplex,2.0,43.0,51.0,55.0
152,2023-05-02,Empty Lot,7.0,65.0,11.0,60.0
153,2023-05-02,Mixed-Use,0.0,1.0,1.0,6.0
154,2023-05-02,Multi-Unit,1.0,9.0,21.0,31.0
155,2023-05-02,Single-Family,4.0,84.0,60.0,71.0
156,2023-11-01,Commercial,1.0,5.0,2.0,8.0
157,2023-11-01,Duplex,6.0,37.0,44.0,55.0
158,2023-11-01,Empty Lot,12.0,70.0,7.0,50.0
159,2023-11-01,Mixed-Use,1.0,2.0,2.0,6.0
160,2023-11-01,Multi-Unit,0.0,19.0,23.0,24.0
161,2023-11-01,Single-Family,18.0,83.0,52.0,58.0
