,Date,Type,B_Zero,B_Low,B_Medium,B_High
40,2021-09-22,Multi-Unit,6.0,12.0,18.0,23.0
41,2021-09-22,Single-Family,52.0,83.0,55.0,77.0
42,2021-10-15,Commercial,1.0,8.0,4.0,12.0
43,2021-10-15,Duplex,15.0,44.0,35.0,59.0
44,2021-10-15,Empty Lot,16.0,22.0,5.0,52.0
45,2021-10-15,Mixed-Use,0.0,2.0,7.0,8.0
46,2021-10-15,Multi-Unit,6.0,12.0,17.0,23.0
47,2021-10-15,Single-Family,53.0,83.0,60.0,77.0
48,2021-11-24,Commercial,1.0,8.0,3.0,13.0
49,2021-11-24,Duplex,16.0,44.0,36.0,59.0
50,2021-11-24,Empty Lot,17.0,22.0,5.0,52.0
51,2021-11-24,Mixed-Use,1.0,1.0,7.0,8.0
52,2021-11-24,Multi-Unit,6.0,12.0,18.0,22.0
53,2021-11-24,Single-Family,52.0,84.0,60.0,80.0
54,2021-12-20,Commercial,1.0,8.0,4.0,13.0
55,2021-12-20,Duplex,16.0,44.0,36.0,59.0
56,2021-12-20,Empty Lot,17.0,22.0,5.0,52.0
57,2021-12-20,Mixed-Use,1.0,1.0,7.0,8.0
58,2021-12-20,Multi-Unit,6.0,12.0,18.0,22.0
59,2021-12-20,Single-Family,52.0,84.0,61.0,80.0
60,2021-12-22,Commercial,1.0,6.0,6.0,12.0
61,2021-12-22,Duplex,20.0,43.0,34.0,56.0
62,2021-12-22,Empty Lot,17.0,21.0,5.0,52.0
63,2021-12-22,Mixed-Use,2.0,0.0,7.0,8.0
64,2021-12-22,Multi-Unit,4.0,11.0,17.0,20.0
65,2021-12-22,Single-Family,55.0,83.0,50.0,74.0
66,2022-01-23,Commercial,1.0,2.0,4.0,16.0
67,2022-01-23,Duplex,13.0,39.0,40.0,62.0
68,2022-01-23,Empty Lot,6.0,30.0,7.0,54.0
69,2022-01-23,Mixed-Use,1.0,1.0,7.0,8.0
70,2022-01-23,Multi-Unit,1.0,12.0,14.0,22.0
71,2022-01-23,Single-Family,29.0,80.0,54.0,87.0
72,2022-02-21,Commercial,2.0,6.0,4.0,13.0
73,2022-02-21,Duplex,15.0,41.0,33.0,60.0
