,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2022-06-23,Commercial,4.0,8.0,6.0,10.0
1,2022-06-23,Duplex,45.0,84.0,63.0,79.0
2,2022-06-23,Empty Lot,25.0,62.0,7.0,4.0
3,2022-06-23,Mixed-Use,0.0,5.0,0.0,6.0
4,2022-06-23,Multi-Unit,12.0,25.0,28.0,41.0
5,2022-06-23,Single-Family,75.0,123.0,94.0,92.0
6,2022-06-23,Residential,132.0,232.0,185.0,212.0
7,2022-06-23,Mixed-Use/Other,0.0,5.0,0.0,6.0
8,2022-06-23,Residential,132.0,232.0,185.0,212.0
9,2022-06-23,Mixed-Use/Other,0.0,5.0,0.0,6.0
10,2022-06-23,Residential,132.0,232.0,185.0,212.0
11,2022-06-23,Mixed-Use/Other,0.0,5.0,0.0,6.0
12,2022-06-23,Residential,132.0,232.0,185.0,212.0
13,2022-06-23,Mixed-Use/Other,0.0,5.0,0.0,6.0
14,2022-06-23,Residential,132.0,232.0,185.0,212.0
15,2022-06-23,Mixed-Use/Other,0.0,5.0,0.0,6.0
16,2022-06-23,Residential,132.0,232.0,185.0,212.0
17,2022-06-23,Mixed-Use/Other,0.0,5.0,0.0,6.0
