,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2023-05-02,Commercial,1.0,2.0,5.0,16.0
1,2023-05-02,Duplex,4.0,68.0,82.0,78.0
2,2023-05-02,Empty Lot,8.0,87.0,15.0,9.0
3,2023-05-02,Mixed-Use,0.0,2.0,3.0,6.0
4,2023-05-02,Multi-Unit,3.0,18.0,35.0,35.0
5,2023-05-02,Single-Family,4.0,134.0,102.0,93.0
6,2023-05-02,Residential,11.0,220.0,219.0,206.0
7,2023-05-02,Mixed-Use/Other,0.0,2.0,3.0,6.0
8,2023-05-02,Residential,11.0,220.0,219.0,206.0
9,2023-05-02,Mixed-Use/Other,0.0,2.0,3.0,6.0
10,2023-05-02,Residential,11.0,220.0,219.0,206.0
11,2023-05-02,Mixed-Use/Other,0.0,2.0,3.0,6.0
12,2023-05-02,Residential,11.0,220.0,219.0,206.0
13,2023-05-02,Mixed-Use/Other,0.0,2.0,3.0,6.0
14,2023-05-02,Residential,11.0,220.0,219.0,206.0
15,2023-05-02,Mixed-Use/Other,0.0,2.0,3.0,6.0
16,2023-05-02,Residential,11.0,220.0,219.0,206.0
17,2023-05-02,Mixed-Use/Other,0.0,2.0,3.0,6.0
