,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2021-07-17,Commercial,6.0,9.0,4.0,11.0
1,2021-07-17,Duplex,39.0,87.0,50.0,83.0
2,2021-07-17,Empty Lot,17.0,60.0,11.0,4.0
3,2021-07-17,Mixed-Use,1.0,3.0,2.0,5.0
4,2021-07-17,Multi-Unit,10.0,24.0,26.0,45.0
5,2021-07-17,Single-Family,79.0,125.0,88.0,91.0
6,2021-07-17,Residential,128.0,236.0,164.0,219.0
7,2021-07-17,Mixed-Use/Other,1.0,3.0,2.0,5.0
8,2021-07-17,Residential,128.0,236.0,164.0,219.0
9,2021-07-17,Mixed-Use/Other,1.0,3.0,2.0,5.0
10,2021-07-17,Residential,128.0,236.0,164.0,219.0
11,2021-07-17,Mixed-Use/Other,1.0,3.0,2.0,5.0
12,2021-07-17,Residential,128.0,236.0,164.0,219.0
13,2021-07-17,Mixed-Use/Other,1.0,3.0,2.0,5.0
14,2021-07-17,Residential,128.0,236.0,164.0,219.0
15,2021-07-17,Mixed-Use/Other,1.0,3.0,2.0,5.0
16,2021-07-17,Residential,128.0,236.0,164.0,219.0
17,2021-07-17,Mixed-Use/Other,1.0,3.0,2.0,5.0
