,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2021-06-24,Commercial,6.0,9.0,4.0,11.0
1,2021-06-24,Duplex,38.0,86.0,50.0,83.0
2,2021-06-24,Empty Lot,18.0,59.0,11.0,4.0
3,2021-06-24,Mixed-Use,1.0,3.0,2.0,5.0
4,2021-06-24,Multi-Unit,10.0,24.0,25.0,45.0
5,2021-06-24,Single-Family,81.0,126.0,89.0,90.0
6,2021-06-24,Residential,129.0,236.0,164.0,218.0
7,2021-06-24,Mixed-Use/Other,1.0,3.0,2.0,5.0
8,2021-06-24,Residential,129.0,236.0,164.0,218.0
9,2021-06-24,Mixed-Use/Other,1.0,3.0,2.0,5.0
10,2021-06-24,Residential,129.0,236.0,164.0,218.0
11,2021-06-24,Mixed-Use/Other,1.0,3.0,2.0,5.0
12,2021-06-24,Residential,129.0,236.0,164.0,218.0
13,2021-06-24,Mixed-Use/Other,1.0,3.0,2.0,5.0
14,2021-06-24,Residential,129.0,236.0,164.0,218.0
15,2021-06-24,Mixed-Use/Other,1.0,3.0,2.0,5.0
16,2021-06-24,Residential,129.0,236.0,164.0,218.0
17,2021-06-24,Mixed-Use/Other,1.0,3.0,2.0,5.0
