,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2022-12-26,Commercial,2.0,7.0,6.0,9.0
1,2022-12-26,Duplex,26.0,72.0,72.0,74.0
2,2022-12-26,Empty Lot,35.0,65.0,14.0,5.0
3,2022-12-26,Mixed-Use,0.0,5.0,1.0,5.0
4,2022-12-26,Multi-Unit,4.0,23.0,24.0,41.0
5,2022-12-26,Single-Family,31.0,125.0,91.0,85.0
6,2022-12-26,Residential,61.0,220.0,187.0,200.0
7,2022-12-26,Mixed-Use/Other,0.0,5.0,1.0,5.0
