,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2021-04-13,Commercial,5.0,10.0,5.0,9.0
1,2021-04-13,Duplex,47.0,103.0,78.0,54.0
2,2021-04-13,Empty Lot,42.0,47.0,11.0,5.0
3,2021-04-13,Mixed-Use,1.0,6.0,2.0,5.0
4,2021-04-13,Multi-Unit,14.0,34.0,32.0,33.0
5,2021-04-13,Single-Family,86.0,187.0,112.0,58.0
6,2021-04-13,Residential,147.0,324.0,222.0,145.0
7,2021-04-13,Mixed-Use/Other,1.0,6.0,2.0,5.0
8,2021-04-13,Residential,147.0,324.0,222.0,145.0
9,2021-04-13,Mixed-Use/Other,1.0,6.0,2.0,5.0
10,2021-04-13,Residential,147.0,324.0,222.0,145.0
11,2021-04-13,Mixed-Use/Other,1.0,6.0,2.0,5.0
12,2021-04-13,Residential,147.0,324.0,222.0,145.0
13,2021-04-13,Mixed-Use/Other,1.0,6.0,2.0,5.0
14,2021-04-13,Residential,147.0,324.0,222.0,145.0
15,2021-04-13,Mixed-Use/Other,1.0,6.0,2.0,5.0
16,2021-04-13,Residential,147.0,324.0,222.0,145.0
17,2021-04-13,Mixed-Use/Other,1.0,6.0,2.0,5.0
