,Date,index,V_Indeterminant,V_Possible,V_Very_Likely,V_Definite
0,2021-03-01,Commercial,10,2,27,8
1,2021-03-01,Duplex,39,10,156,68
2,2021-03-01,Empty Lot,15,7,75,1
3,2021-03-01,Multi-Unit,15,5,48,40
4,2021-03-01,Other,6,1,12,4
5,2021-03-01,Single-Family,91,29,218,83
