,Date,index,V_Indeterminant,V_Possible,V_Very_Likely,V_Definite
0,2023-05-02,Commercial,3.0,1.0,15.0,5.0
1,2023-05-02,Duplex,17.0,0.0,79.0,136.0
2,2023-05-02,Empty Lot,7.0,3.0,106.0,3.0
3,2023-05-02,Mixed-Use,1.0,0.0,5.0,5.0
4,2023-05-02,Multi-Unit,1.0,1.0,28.0,61.0
5,2023-05-02,Single-Family,29.0,2.0,123.0,179.0
