,Date,index,V_Indeterminant,V_Possible,V_Very_Likely,V_Definite
0,2023-04-22,Commercial,4.0,1.0,14.0,5.0
1,2023-04-22,Duplex,23.0,2.0,55.0,127.0
2,2023-04-22,Empty Lot,8.0,2.0,103.0,3.0
3,2023-04-22,Mixed-Use,1.0,0.0,5.0,5.0
4,2023-04-22,Multi-Unit,2.0,3.0,25.0,60.0
5,2023-04-22,Single-Family,38.0,3.0,83.0,172.0
